Train ID,Last Maintenance Date,Next Due Date,Maintenance Type,Status,Remarks
T101,2025-08-15,2025-10-14,Routine Check,Pending,"Scheduled for routine inspection"
T102,2025-09-05,2025-11-04,Brake Inspection,Pending,"Brake fluid levels will be checked"
T103,2025-07-20,2025-09-18,Engine Overhaul,Overdue,"Urgent: Engine performance dropping"
T104,2025-09-28,2025-11-27,Electrical Check,Completed,"Replaced flickering light in coach E2"
T105,2025-08-22,2025-10-21,Coach Repair,Pending,"Scheduled for fixing broken seat in coach C4"
T106,2025-09-10,2025-12-09,Routine Check,Pending,"All systems nominal in last check"
T107,2025-08-01,2025-09-30,Brake Inspection,Overdue,"Replaced brake pads, but needs re-inspection"
T108,2025-09-18,2025-11-17,Engine Overhaul,Pending,"Scheduled for minor engine tune-up"
T109,2025-09-30,2025-10-30,Coach Repair,Completed,"Repaired window latch in coach A1"
T110,2025-08-25,2025-10-24,Electrical Check,Pending,"Wiring will be checked for faults"
T111,2025-09-02,2025-11-01,Routine Check,Pending,"Scheduled for general inspection"
T112,2025-07-15,2025-09-13,Brake Inspection,Overdue,"Urgent: Brake system check required"
T113,2025-09-25,2025-11-24,Coach Repair,Completed,"Interior panel tightening completed"
T114,2025-08-19,2025-10-18,Engine Overhaul,Pending,"Full engine diagnostic scheduled"
T115,2025-09-12,2025-12-11,Electrical Check,Pending,"Battery health check is due"
T116,2025-08-28,2025-10-27,Routine Check,Pending,"Standard 60-day checkup"
T117,2025-09-08,2025-11-07,Brake Inspection,Pending,"Scheduled brake pad wear analysis"
T118,2025-08-05,2025-10-04,Coach Repair,Pending,"Minor exterior paint job required"
T119,2025-07-25,2025-09-23,Engine Overhaul,Overdue,"Injector replacement pending parts arrival"
T120,2025-10-01,2025-11-30,Routine Check,Completed,"Routine check passed without issues"
T121,2025-09-15,2025-11-14,Electrical Check,Pending,"Lighting system inspection scheduled"
T122,2025-08-11,2025-10-10,Brake Inspection,Pending,"Passed all brake tests in last service"
T123,2025-09-22,2025-12-21,Coach Repair,Pending,"Upholstery cleaning scheduled"
T124,2025-08-18,2025-10-17,Routine Check,Pending,"General checkup is due"
T125,2025-07-30,2025-09-28,Engine Overhaul,Overdue,"Awaiting senior engineer for final check"
T126,2025-09-29,2025-11-28,Brake Inspection,Completed,"Brake system fluid flushed and replaced"
T127,2025-08-23,2025-11-21,Electrical Check,Pending,"HVAC system electricals to be checked"
T128,2025-09-03,2025-11-02,Routine Check,Pending,"Standard inspection"
T129,2025-08-09,2025-10-08,Coach Repair,Pending,"Fixing damaged luggage rack"
T130,2025-09-20,2025-10-20,Engine Overhaul,Pending,"Oil and filter change scheduled"
T131,2025-08-14,2025-10-13,Brake Inspection,Pending,"Scheduled check"
T132,2025-09-01,2025-10-01,Routine Check,Overdue,"Inspection deadline missed due to high traffic"
T133,2025-09-26,2025-11-25,Electrical Check,Completed,"All wiring checked, no faults found"
T134,2025-08-29,2025-10-28,Coach Repair,Pending,"Scheduled for door mechanism repair"
T135,2025-09-11,2025-12-10,Engine Overhaul,Pending,"Engine cooling system check"
T136,2025-08-06,2025-10-05,Routine Check,Pending,"Routine check scheduled"
T137,2025-09-19,2025-11-18,Brake Inspection,Pending,"Standard brake check"
T138,2025-08-02,2025-09-25,Coach Repair,Overdue,"Interior lighting fault reported, needs fixing"
T139,2025-09-24,2025-10-24,Electrical Check,Pending,"Communication system check scheduled"
T140,2025-09-06,2025-11-05,Routine Check,Pending,"60-day interval check"
T141,2025-08-21,2025-10-20,Engine Overhaul,Pending,"Minor tune-up scheduled"
T142,2025-09-14,2025-11-13,Brake Inspection,Pending,"Check brake caliper function"
T143,2025-09-27,2025-12-26,Coach Repair,Completed,"Fixed a rattling window in coach B3"
T144,2025-08-04,2025-10-03,Routine Check,Pending,"General inspection due tomorrow"
T145,2025-08-31,2025-10-30,Electrical Check,Pending,"Check signal lights"
T146,2025-07-28,2025-09-26,Engine Overhaul,Overdue,"Major overhaul delayed, awaiting parts"
T147,2025-09-16,2025-11-15,Routine Check,Pending,"Scheduled inspection"
T148,2025-08-26,2025-10-25,Brake Inspection,Pending,"Safety inspection of brake lines"
T149,2025-09-09,2025-12-08,Coach Repair,Pending,"Repair of onboard announcement system"
T150,2025-09-23,2025-11-22,Engine Overhaul,Pending,"Scheduled diagnostic check"
T151,2025-08-12,2025-10-11,Electrical Check,Pending,"Check passenger cabin power outlets"
T152,2025-09-04,2025-11-03,Routine Check,Pending,"Standard checkup"
T153,2025-08-16,2025-10-15,Brake Inspection,Pending,"Inspection of emergency brake system"
T154,2025-07-22,2025-09-20,Engine Overhaul,Overdue,"Requires urgent attention due to smoke reports"
T155,2025-09-17,2025-12-16,Coach Repair,Pending,"Floor panel repair in coach D5"
T156,2025-09-21,2025-10-21,Routine Check,Pending,"Visual inspection of undercarriage"
T157,2025-10-01,2025-12-30,Electrical Check,Completed,"Battery health at 98%, passed test"
